Program ID,University,degree,Funding Opportunities,link
4009,FH Aachen University of Applied Sciences,Bachelor of Engineering in Mechanical Engineering,No,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4009/
4008,FH Aachen University of Applied Sciences,Bachelor of Engineering in Medical Engineering,No,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4008/
4011,FH Aachen University of Applied Sciences,Bachelor of Engineering in Physical Engineering,No,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4011/
3906,HTW Berlin University of Applied Sciences,Bachelor's in International Business (BIB),No,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3906/
5691,Hochschule Fresenius - University of Applied Sciences,Bioanalytical Chemistry & Pharmaceutical Analysis (MSc),No,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5691/
9957,Hochschule Fresenius - University of Applied Sciences,Bioanalytical Chemistry and Pharmaceutical Analysis (MSc),No,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9957/
9956,Hochschule Fresenius - University of Applied Sciences,Biochemical Engineering (MEng),No,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9956/
9955,Hochschule Fresenius - University of Applied Sciences,Biomedicine (MSc),No,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9955/
7752,bbw Hochschule - University of Applied Sciences,Business Management and Engineering,No,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7752/
8374,Rosenheim Technical University of Applied Sciences,Chemical Engineering,No,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8374/
9787,bbw Hochschule - University of Applied Sciences,Climate Technologies,No,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9787/
9205,Neu-Ulm University of Applied Sciences,Com­mu­ni­ca­ti­on & De­sign for Sustaina­bi­li­ty (MA),No,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9205/
9221,Neu-Ulm University of Applied Sciences,Digital Innovation Management (MSc),No,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9221/
9222,Neu-Ulm University of Applied Sciences,Di­gi­tal Trans­for­ma­ti­on and Glo­bal En­tre­pre­neurship,No,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9222/
7974,Rosenheim Technical University of Applied Sciences,E-Commerce,No,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7974/
9662,Hochschule Fresenius - University of Applied Sciences,E-Commerce & Logistics (MSc),No,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9662/
4854,University of Applied Sciences Ravensburg-Weingarten,E-Mobility and Green Energy,No,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4854/
4226,Rhine-Waal University of Applied Sciences,"Economics and Finance, MSc",Yes,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4226/
4201,University of Applied Sciences Ravensburg-Weingarten,Electrical Engineering and Embedded Systems,No,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4201/
8368,Rosenheim Technical University of Applied Sciences,Electrical Engineering and Information Technology,No,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8368/
